曲目ID,中文名称,EnglishTitle,专辑名称,曲目序号,音频文件名,身份定位,神学主题,属灵气质,传统用途,适合文章类型,不适合文章类型,一句话总评,来源链接,来源说明
A3-04,十字架，十字架,Near the Cross,十字架的故事 Story of the Cross,4,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=Near%20the%20Cross | https://songselect.ccli.com/search/results?List=Near%20the%20Cross,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A3-05,奇妙十架,When I Survey the Wondrous Cross,十字架的故事 Story of the Cross,5,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=When%20I%20Survey%20the%20Wondrous%20Cross | https://songselect.ccli.com/search/results?List=When%20I%20Survey%20the%20Wondrous%20Cross,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A3-06,当主为你钉十架,Were You There,十字架的故事 Story of the Cross,6,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=Were%20You%20There | https://songselect.ccli.com/search/results?List=Were%20You%20There,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A3-07,我曾舍命为你/领我到髑髅地,I Gave My Life for Thee / Lead Me to Calvary,十字架的故事 Story of the Cross,7,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=I%20Gave%20My%20Life%20for%20Thee%20%2F%20Lead%20Me%20to%20Calvary | https://songselect.ccli.com/search/results?List=I%20Gave%20My%20Life%20for%20Thee%20%2F%20Lead%20Me%20to%20Calvary,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗。
A3-08,复活得胜主,Thine Is the Glory,十字架的故事 Story of the Cross,8,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Thine%20Is%20the%20Glory | https://songselect.ccli.com/search/results?List=Thine%20Is%20the%20Glory,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A3-09,宝血洗罪/宝血大能,Washed in the Blood / Power in the Blood,十字架的故事 Story of the Cross,9,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,敬拜；信靠；基督里的生命回应,安静；敬虔；稳重；灵修性,灵修默想；主日回应；文章背景圣乐,神学重心较宽、需要安静承托文章信息的灵修文章,主题非常明确的主餐、圣诞、宣教差派或强烈悔改文章,适合一般灵修默想，但仍需按文章最终落点重新比较。,https://hymnary.org/search?qu=Washed%20in%20the%20Blood%20%2F%20Power%20in%20the%20Blood | https://songselect.ccli.com/search/results?List=Washed%20in%20the%20Blood%20%2F%20Power%20in%20the%20Blood,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗。
A3-10,奇异恩典,Amazing Grace,十字架的故事 Story of the Cross,10,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,恩典；罪得赦免；救恩确据；福音见证,感恩；谦卑；安慰；盼望,福音呼召；见证；追思安慰；救恩主题灵修,强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章,主要强调神圣洁审判、属灵争战或礼仪性主餐默想的文章,恩典；罪得赦免；救恩确据；福音见证；适合强调罪人蒙恩、福音改变、神主动施恩和感恩回应的文章。,https://hymnary.org/search?qu=Amazing%20Grace | https://songselect.ccli.com/search/results?List=Amazing%20Grace,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A3-11,耶稣恩友,What a Friend We Have in Jesus,十字架的故事 Story of the Cross,11,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,敬拜；信靠；基督里的生命回应,安静；敬虔；稳重；灵修性,灵修默想；主日回应；文章背景圣乐,神学重心较宽、需要安静承托文章信息的灵修文章,主题非常明确的主餐、圣诞、宣教差派或强烈悔改文章,适合一般灵修默想，但仍需按文章最终落点重新比较。,https://hymnary.org/search?qu=What%20a%20Friend%20We%20Have%20in%20Jesus | https://songselect.ccli.com/search/results?List=What%20a%20Friend%20We%20Have%20in%20Jesus,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A3-12,主耶稣我爱你/爱主更深,"My Jesus, I Love Thee / More Love to Thee",十字架的故事 Story of the Cross,12,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=My%20Jesus%2C%20I%20Love%20Thee%20%2F%20More%20Love%20to%20Thee | https://songselect.ccli.com/search/results?List=My%20Jesus%2C%20I%20Love%20Thee%20%2F%20More%20Love%20to%20Thee,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗。
A4-01,夜间歌唱,It Came Upon the Midnight Clear,圣诞故事 The Christmas Story,1,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,敬拜；信靠；基督里的生命回应,安静；敬虔；稳重；灵修性,灵修默想；主日回应；文章背景圣乐,神学重心较宽、需要安静承托文章信息的灵修文章,主题非常明确的主餐、圣诞、宣教差派或强烈悔改文章,适合一般灵修默想，但仍需按文章最终落点重新比较。,https://hymnary.org/search?qu=It%20Came%20Upon%20the%20Midnight%20Clear | https://songselect.ccli.com/search/results?List=It%20Came%20Upon%20the%20Midnight%20Clear,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-02,平安夜,Silent Night,圣诞故事 The Christmas Story,2,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,在基督里的安息；牧养；避难所；内在更新,安静；温柔；默想；被主怀抱,灵修默想；安慰探访；退修；睡前或静默祷告,以受安慰、静候主、内心更新、牧养陪伴为主的文章,强烈呼召、公开宣教动员、庄严审判或得胜凯歌文章,在基督里的安息；牧养；避难所；内在更新；适合以受安慰、静候主、内心更新、牧养陪伴为主的文章。,https://hymnary.org/search?qu=Silent%20Night | https://songselect.ccli.com/search/results?List=Silent%20Night,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-03,普世欢腾,Joy to the World,圣诞故事 The Christmas Story,3,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=Joy%20to%20the%20World | https://songselect.ccli.com/search/results?List=Joy%20to%20the%20World,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-04,噢圣善夜,O Holy Night,圣诞故事 The Christmas Story,4,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的圣洁；基督尊荣；敬拜与降卑,庄严；敬畏；崇高；肃穆,主日崇拜；圣洁主题；圣诞敬拜；敬拜引导,强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章,以个人软弱安慰、日常陪伴或轻柔默想为主的文章,神的圣洁；基督尊荣；敬拜与降卑；适合强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章。,https://hymnary.org/search?qu=O%20Holy%20Night | https://songselect.ccli.com/search/results?List=O%20Holy%20Night,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-05,圣诞天使,Christmas Angels,圣诞故事 The Christmas Story,5,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=Christmas%20Angels | https://songselect.ccli.com/search/results?List=Christmas%20Angels,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；题名较泛，需用出版方或音频文件名确认具体作品。
A4-06,马槽圣婴,Away in a Manger,圣诞故事 The Christmas Story,6,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=Away%20in%20a%20Manger | https://songselect.ccli.com/search/results?List=Away%20in%20a%20Manger,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-07,奇妙圣婴,What Child Is This,圣诞故事 The Christmas Story,7,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=What%20Child%20Is%20This | https://songselect.ccli.com/search/results?List=What%20Child%20Is%20This,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-08,小伯利恒,O Little Town of Bethlehem,圣诞故事 The Christmas Story,8,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=O%20Little%20Town%20of%20Bethlehem | https://songselect.ccli.com/search/results?List=O%20Little%20Town%20of%20Bethlehem,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-09,传扬佳音歌,Go Tell It on the Mountain,圣诞故事 The Christmas Story,9,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,福音使命；基督掌权；属灵争战；差派见证,坚定；外展；得胜；呼召,宣教聚会；差派礼；福音使命；属灵争战信息,强调传福音、万民归主、教会使命、为真理站立的文章,安静哀伤、个人退修、主餐默想或细腻牧养安慰的文章,福音使命；基督掌权；属灵争战；差派见证；适合强调传福音、万民归主、教会使命、为真理站立的文章。,https://hymnary.org/search?qu=Go%20Tell%20It%20on%20the%20Mountain | https://songselect.ccli.com/search/results?List=Go%20Tell%20It%20on%20the%20Mountain,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-10,朝拜新生王,We Three Kings,圣诞故事 The Christmas Story,10,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=We%20Three%20Kings | https://songselect.ccli.com/search/results?List=We%20Three%20Kings,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A4-11,铃儿响叮当,Jingle Bells,圣诞故事 The Christmas Story,11,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=Jingle%20Bells | https://songselect.ccli.com/search/results?List=Jingle%20Bells,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；题名较泛，需用出版方或音频文件名确认具体作品。
A5-01,荣耀归于真神,To God Be the Glory,神圣羔羊 Divine Redeemer,1,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=To%20God%20Be%20the%20Glory | https://songselect.ccli.com/search/results?List=To%20God%20Be%20the%20Glory,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-02,神爱世人,God So Loved the World,神圣羔羊 Divine Redeemer,2,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的爱；基督救赎；福音恩典；敬拜回应,温暖；感恩；敬拜；安慰,福音信息；救恩默想；主日回应；感恩见证,强调神主动的爱、基督救赎、罪人蒙恩以及被爱激发敬拜回应的文章,主要落点是严肃警戒、属灵争战、主餐礼仪或宣教差派的文章,神的爱；基督救赎；福音恩典；敬拜回应；适合强调神主动的爱、基督救赎、罪人蒙恩以及被爱激发敬拜回应的文章。,https://hymnary.org/search?qu=God%20So%20Loved%20the%20World | https://songselect.ccli.com/search/results?List=God%20So%20Loved%20the%20World,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-03,天使歌唱,Angel We Have Heard on High,神圣羔羊 Divine Redeemer,3,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=Angel%20We%20Have%20Heard%20on%20High | https://songselect.ccli.com/search/results?List=Angel%20We%20Have%20Heard%20on%20High,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-04,平安夜,Silent Night,神圣羔羊 Divine Redeemer,4,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,在基督里的安息；牧养；避难所；内在更新,安静；温柔；默想；被主怀抱,灵修默想；安慰探访；退修；睡前或静默祷告,以受安慰、静候主、内心更新、牧养陪伴为主的文章,强烈呼召、公开宣教动员、庄严审判或得胜凯歌文章,在基督里的安息；牧养；避难所；内在更新；适合以受安慰、静候主、内心更新、牧养陪伴为主的文章。,https://hymnary.org/search?qu=Silent%20Night | https://songselect.ccli.com/search/results?List=Silent%20Night,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-05,啊圣善夜,O Holy Night,神圣羔羊 Divine Redeemer,5,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的圣洁；基督尊荣；敬拜与降卑,庄严；敬畏；崇高；肃穆,主日崇拜；圣洁主题；圣诞敬拜；敬拜引导,强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章,以个人软弱安慰、日常陪伴或轻柔默想为主的文章,神的圣洁；基督尊荣；敬拜与降卑；适合强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章。,https://hymnary.org/search?qu=O%20Holy%20Night | https://songselect.ccli.com/search/results?List=O%20Holy%20Night,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-06,小伯利恒,Back to Bethlehem,神圣羔羊 Divine Redeemer,6,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=Back%20to%20Bethlehem | https://songselect.ccli.com/search/results?List=Back%20to%20Bethlehem,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A5-07,天使高歌,Hark! The Herald Angels Sing,神圣羔羊 Divine Redeemer,7,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,道成肉身；基督降生；救主临到；敬拜新生王,温柔；明亮；敬拜；节期性,圣诞节；将临期；道成肉身信息；圣诞见证,围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章,非圣诞主题的悔改、主餐、宣教争战或日常灵修文章,道成肉身；基督降生；救主临到；敬拜新生王；适合围绕基督降生、道成肉身、救主临到和圣诞敬拜的文章。,https://hymnary.org/search?qu=Hark!%20The%20Herald%20Angels%20Sing | https://songselect.ccli.com/search/results?List=Hark!%20The%20Herald%20Angels%20Sing,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-08,尊贵的主,Christmas Majesty,神圣羔羊 Divine Redeemer,8,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的圣洁；基督尊荣；敬拜与降卑,庄严；敬畏；崇高；肃穆,主日崇拜；圣洁主题；圣诞敬拜；敬拜引导,强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章,以个人软弱安慰、日常陪伴或轻柔默想为主的文章,神的圣洁；基督尊荣；敬拜与降卑；适合强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章。,https://hymnary.org/search?qu=Christmas%20Majesty | https://songselect.ccli.com/search/results?List=Christmas%20Majesty,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A5-09,圣城,The Holy City,神圣羔羊 Divine Redeemer,9,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的圣洁；基督尊荣；敬拜与降卑,庄严；敬畏；崇高；肃穆,主日崇拜；圣洁主题；圣诞敬拜；敬拜引导,强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章,以个人软弱安慰、日常陪伴或轻柔默想为主的文章,神的圣洁；基督尊荣；敬拜与降卑；适合强调神的圣洁、基督尊贵、敬拜秩序和人当存敬畏的文章。,https://hymnary.org/search?qu=The%20Holy%20City | https://songselect.ccli.com/search/results?List=The%20Holy%20City,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-10,古旧十架,The Old Rugged Cross,神圣羔羊 Divine Redeemer,10,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=The%20Old%20Rugged%20Cross | https://songselect.ccli.com/search/results?List=The%20Old%20Rugged%20Cross,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-11,宝架清影,Beneath the Cross of Jesus,神圣羔羊 Divine Redeemer,11,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=Beneath%20the%20Cross%20of%20Jesus | https://songselect.ccli.com/search/results?List=Beneath%20the%20Cross%20of%20Jesus,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-12,奇妙十架,When I Survey the Wondrous Cross,神圣羔羊 Divine Redeemer,12,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=When%20I%20Survey%20the%20Wondrous%20Cross | https://songselect.ccli.com/search/results?List=When%20I%20Survey%20the%20Wondrous%20Cross,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-13,虔守主餐,Let Us Break Bread Together,神圣羔羊 Divine Redeemer,13,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,主餐；基督身体与宝血；记念主死；教会相交,肃穆；安静；敬虔；纪念,主餐礼；受难周；教会团契；十字架默想,明确落在记念主死、主餐、基督身体和教会合一的文章,普通生活应用、圣诞庆祝或宣教差派文章,主餐；基督身体与宝血；记念主死；教会相交；适合明确落在记念主死、主餐、基督身体和教会合一的文章。,https://hymnary.org/search?qu=Let%20Us%20Break%20Bread%20Together | https://songselect.ccli.com/search/results?List=Let%20Us%20Break%20Bread%20Together,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-14,神圣救赎主,Divine Redeemer,神圣羔羊 Divine Redeemer,14,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,救恩确据；得赎身份；重生生命；福音见证,确据；感恩；明亮；稳妥,见证；福音回应；救恩主题；主日赞美,强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章,主要落点是哀伤追思、主餐肃穆、圣洁审判或安静等候的文章,救恩确据；得赎身份；重生生命；福音见证；适合强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章。,https://hymnary.org/search?qu=Divine%20Redeemer | https://songselect.ccli.com/search/results?List=Divine%20Redeemer,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A5-15,基督耶稣今复生,Praise to the Risen King,神圣羔羊 Divine Redeemer,15,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,赞美；复活得胜；神的荣耀；救恩欢庆,明亮；喜乐；得胜；颂赞,复活节；主日赞美；感恩回应；庆典崇拜,从神的作为、复活盼望、赞美感恩走向喜乐回应的文章,沉重悔改、受难默想、追思安慰或低声灵修文章,赞美；复活得胜；神的荣耀；救恩欢庆；适合从神的作为、复活盼望、赞美感恩走向喜乐回应的文章。,https://hymnary.org/search?qu=Praise%20to%20the%20Risen%20King | https://songselect.ccli.com/search/results?List=Praise%20to%20the%20Risen%20King,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
